date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
2021-03-01,-4.199999999999989,1.776993828787549,6.0,,8.238872794833739,0.07
2021-04-01,16.5,2.857558473732588,6.1,5.2,24.412497465326137,0.07
2021-05-01,10.600000000000009,3.2539403762844774,5.8,,13.882644873964601,0.06
2021-06-01,7.400000000000006,3.507938534758039,5.9,,7.968059918281829,0.08
2021-07-01,8.700000000000003,3.495746028238597,5.4,5.2,6.372472825893444,0.1
2021-08-01,-3.799999999999997,3.4969650620104433,5.2,,5.739930866571966,0.09
2021-09-01,-7.6000000000000085,3.530673136008401,4.8,,4.69713075940656,0.08
2021-10-01,-10.099999999999994,3.9853073357878768,4.6,5.2,5.009659507942119,0.08
2021-11-01,-9.5,4.452533329768632,4.2,,5.325636417193701,0.08
2021-12-01,-10.100000000000009,4.65346616192601,3.9,,5.007432077564721,0.08
